,submission_date,assignment code,outcome code,outcome year,course_id,semester,course,section,outcome score,outcome rating,college,compliance
32052,2022-05-01,441519,CF4,U1516,SP2022_PHIL3080_1U,SP2022,PHIL3080,1U,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
34375,2022-05-01,441519,CF4,U1516,SP2022_PHIL3080_1U,SP2022,PHIL3080,1U,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
34421,2022-04-25,446733,CF4,U1516,SP2022_THEO3620_01,SP2022,THEO3620,01,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
34437,2022-04-25,446733,CF4,U1516,SP2022_THEO3620_01,SP2022,THEO3620,01,1.0,Minimum,College of Theology & Christian Ministry,Outcome assessed
34442,2022-05-02,441519,CF4,U1516,SP2022_PHIL3080_1U,SP2022,PHIL3080,1U,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
34571,2022-04-25,446733,CF4,U1516,SP2022_THEO3620_01,SP2022,THEO3620,01,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
34637,2022-04-25,441431,CF4,U1516,SP2022_PHIL3620_01,SP2022,PHIL3620,01,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
34664,2022-04-25,446733,CF4,U1516,SP2022_THEO3620_01,SP2022,THEO3620,01,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
34741,2022-04-17,441538,CF4,U1516,SP2022_PHIL3080_1U,SP2022,PHIL3080,1U,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
34741,2022-05-01,441519,CF4,U1516,SP2022_PHIL3080_1U,SP2022,PHIL3080,1U,1.0,Minimum,College of Theology & Christian Ministry,Outcome assessed
34992,2022-04-17,441538,CF4,U1516,SP2022_PHIL3080_1U,SP2022,PHIL3080,1U,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
34992,2022-05-01,441519,CF4,U1516,SP2022_PHIL3080_1U,SP2022,PHIL3080,1U,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
36561,2022-04-17,441538,CF4,U1516,SP2022_PHIL3080_1U,SP2022,PHIL3080,1U,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
36561,2022-05-01,441519,CF4,U1516,SP2022_PHIL3080_1U,SP2022,PHIL3080,1U,1.0,Minimum,College of Theology & Christian Ministry,Outcome assessed
